tag,pz,sweep,H,sigma,C,Cz,N,neutral,rms_worst_large,f01_worst_large,rms_worst_small,err_total_kT,err_per_atom_kT,verdict_sampling,dEref_Cl_large,dEref_Cl_small,dEref_Na_bulk_large,dEref_Na_bulk_small,dEref_Na_wall_large,dEref_Na_wall_small,dEref_dipole_large,dEref_dipole_small,dacc_Cl_large,dacc_Cl_small,dacc_Na_bulk_large,dacc_Na_bulk_small,dacc_Na_wall_large,dacc_Na_wall_small,dacc_dipole_large,dacc_dipole_small,err_real_kT,err_recip_kT,err_slab_kT,f01_Cl_large,f01_Cl_small,f01_Na_bulk_large,f01_Na_bulk_small,f01_Na_wall_large,f01_Na_wall_small,f01_dipole_large,f01_dipole_small,fd_err_as_coded,fd_err_if_flipped,max_Cl_large,max_Cl_small,max_Na_bulk_large,max_Na_bulk_small,max_Na_wall_large,max_Na_wall_small,max_dipole_large,max_dipole_small,n_frames_used,prod_total_kT,ref_n_k,ref_recip_kT,ref_selfcheck_max_kT,ref_slab_kT,ref_total_no_self_kT,ref_z_scale,rms_Cl_large,rms_Cl_small,rms_Na_bulk_large,rms_Na_bulk_small,rms_Na_wall_large,rms_Na_wall_small,rms_dipole_large,rms_dipole_small,rmsnoslab_Cl_large,rmsnoslab_Cl_small,rmsnoslab_Na_bulk_large,rmsnoslab_Na_bulk_small,rmsnoslab_Na_wall_large,rmsnoslab_Na_wall_small,rmsnoslab_dipole_large,rmsnoslab_dipole_small,run,slabdelta_Cl_large,slabdelta_Cl_small,slabdelta_Na_bulk_large,slabdelta_Na_bulk_small,slabdelta_Na_wall_large,slabdelta_Na_wall_small,slabdelta_dipole_large,slabdelta_dipole_small,wall_err_frac,wall_err_frac_fixed,wall_ideal,wall_log_equals_recompute,wall_logged,wall_prod,wall_prod_real_sign_flipped,wall_ref,wall_sigma_eff_e_per_nm2
results_prod_neutral__pz_17__C__ions_dipole_C_pz_17_H_3_sigma_-20_C_0.04_Cz_0.1_20260217_014527,17.0,C,3.0,-20.0,0.04,0.1,2208,True,0.19136720981363928,0.19366804692891648,0.026803967264731065,877.114741676358,0.39724399532443755,godится s ogovorkami,0.7755642082877907,0.09814874177570053,1.7618763017096442,0.2769580897820811,2.5500634666194952,0.34223029479825423,0.8812712609731032,0.10601061809036606,0.043423821022212226,0.010407157976826915,0.03700261188574556,0.00845618799277971,0.01690020452157566,0.00833359718894166,0.02916390660802042,0.009112315433940553,-112.30495947178362,989.3986521777782,0.02104897036348895,0.19366804692891648,0.0,0.09666259666259665,0.0,0.027313266443701228,0.0,0.05060386473429951,0.0,0.5374797781144764,3.381677691153009e-08,0.38254366265332673,0.07660066007966858,0.5085667075141349,0.08112743600768743,0.32486638716935773,0.09688936017526682,0.21253004836058417,0.07617535841012292,3,1209.4653090615802,28485,428.9291799424072,1.167865268108333e-08,0.0049526989090562246,332.35056738522235,21.0,0.14992591846688075,0.026803967264731065,0.19136720981363928,0.026580554147670608,0.14838819516490687,0.026429293698227014,0.10431036757979299,0.02414059505452283,0.149976381403431,0.026795595305236234,0.19139187954540518,0.026565604846476087,0.14833867991069152,0.02642488992956556,0.10430150168337966,0.024136849649757167,results_prod_neutral/pz_17/C/ions_dipole_C_pz_17_H_3_sigma_-20_C_0.04_Cz_0.1_20260217_014527,0.000738866388902661,9.523994259228305e-05,0.0008533468678822671,8.63675034775723e-05,0.0010571785326394846,8.290788334788515e-05,0.0004559840185031534,5.8558758807868344e-05,-0.4525294906243728,8.393737219534213e-05,16.385854610660825,True,9.036638666666667,9.036638667416552,16.50755067962773,16.506165195496198,1.21
results_prod__pz_17__Cz__ions_dipole_Cz_pz_17_H_3_sigma_-20_C_0.01_Cz_0.7_20251124_154702,17.0,Cz,3.0,-20.0,0.01,0.7,2497,False,0.6273018634995396,0.7289915966386555,0.08716562636976648,-44182.34905398338,-17.69417262874785,pereschityvat,0.2738007248571715,0.041950048519918993,0.3644480902372094,0.05764642544088516,0.23999790858317774,0.04982633551912766,0.18751424505807412,0.04350440099426021,0.15882284851707096,0.02493347816529658,0.13132211157171061,0.029825685061218684,0.28944992965343214,0.041095113135152864,0.10375561984483778,0.020321679855787946,-1052.3233887334834,-41546.276071137545,-1583.7495941123536,0.49382716049382713,0.05019545131485429,0.4323565323565324,0.06614436855497523,0.7289915966386555,0.10740051465857918,0.3808143547273983,0.009433962264150943,1.7885684334524206,1.0653024524196512e-07,1.0847204748867378,0.14707016988100324,1.044002625543664,0.1671440378433261,1.1174278014165122,0.17853877992001252,0.712062634859099,0.14424556225573823,3,1488.7368132600998,28485,45365.853600848175,27775.887108997864,-372.6469633205538,45671.08586724348,21.0,0.4766752496769319,0.06396841252046503,0.4472038652391166,0.07534245170402983,0.6273018634995396,0.08716562636976648,0.2976175405656507,0.050218424954395185,0.4004923430001995,0.05167467541351326,0.36919190264351326,0.0599848505231377,0.5085136284781375,0.06896069121348723,0.2458957783415303,0.04176491416157798,results_prod/pz_17/Cz/ions_dipole_Cz_pz_17_H_3_sigma_-20_C_0.01_Cz_0.7_20251124_154702,0.07819223751112718,0.012995514634385611,0.08047655848650452,0.015807008715455925,0.12072611461555573,0.018776908605147958,0.054639048534497324,0.009221212309588835,0.018418421705216216,-0.006934997532945556,16.385854610660825,False,-16.657606666666666,-16.65760523094723,-16.24291590490689,-16.35634713191472,1.21
results_prod_neutral__pz_17__Cz__ions_dipole_Cz_pz_17_H_3_sigma_-20_C_0.01_Cz_0_20260217_014128,17.0,Cz,3.0,-20.0,0.01,0.0,1950,True,0.14472421911749891,0.12667887667887667,0.024499176930189562,799.9783397955325,0.4102453024592474,godится s ogovorkami,1.0275241651199023,0.10830976499146472,2.0451548848872645,0.2987888308058287,2.536559247047596,0.3507168098504554,,,0.0367779825601998,0.009368248295981768,0.029609015718927652,0.007411121056731164,0.01894088736279916,0.007207857280643705,,,-216.6034531430502,1016.4824813593283,0.09931157925423972,0.12667887667887667,0.0,0.0872628726287263,0.0,0.037315887315887315,0.0,,,0.4688497937883993,3.163026428287153e-08,0.31894463354373453,0.06899005613577648,0.3074797351750785,0.07373837884408597,0.3169108369238392,0.07804223957679157,,,3,1314.7562385118981,28485,445.38409092273963,1.1234198884738692e-08,0.02336743041276228,514.7778987163656,21.0,0.12582198430411562,0.02344309097020697,0.14472421911749891,0.024244421957606965,0.13404237112449358,0.024499176930189562,,,0.12573453646031751,0.023424141750019417,0.14463936762055773,0.024202088970870544,0.13382085619586856,0.024534947075040992,,,results_prod_neutral/pz_17/Cz/ions_dipole_Cz_pz_17_H_3_sigma_-20_C_0.01_Cz_0_20260217_014128,0.0010077234192991215,0.0001460812792844938,0.0015522369345338039,0.00013405301460791777,0.00157234188835635,0.00015297503846811315,,,-0.4437373028908307,0.0003633191606665927,16.385854610660825,True,9.220588666666666,9.220588265929969,16.58198245227534,16.57596008836879,1.21
results_prod_neutral__pz_17__H__ions_dipole_H_pz_17_H_5_sigma_-20_C_0.01_Cz_0.1_20260216_125433,17.0,H,5.0,-20.0,0.01,0.1,2320,True,0.24705409736160536,0.11334429698135573,0.05203973623685426,726.379511873688,0.3130946171869345,godится s ogovorkami,0.6052291621214106,0.0770116892213736,1.6666436299023883,0.2845385084471989,2.8880923888940693,0.3523981634840079,0.46912872774500386,0.08398752622065353,0.03402271437694389,0.009421704254211509,0.038018938535432756,0.01395583441410622,0.019386135955952014,0.01768286306653872,0.030426716539831394,0.008154448441917731,-25.560336426588634,751.8873519361364,0.05249636414037471,0.11296931271699985,0.0,0.11334429698135573,0.0026246719160104987,0.017094017094017092,0.0,0.07705000742975428,0.0,0.5982230435768624,5.7718363043210043e-08,0.3841437602595455,0.08493199649912157,0.5291369663395429,0.13549957831804602,0.55111047279831,0.13194153803676165,0.3235778240474771,0.0820608025662974,3,1281.199713686812,29398,763.4442489394414,1.0730944950055577e-08,0.023331717395722096,554.8202018131238,13.0,0.13668507971917576,0.026689447506428737,0.19579211370302144,0.04363149512817548,0.24705409736160536,0.05203973623685426,0.10141480622417041,0.02264422933468571,0.136935470042212,0.026719968758696148,0.19615584886629114,0.043759181661843206,0.24587354170038322,0.05187528491019561,0.10138336667056218,0.0226409857410651,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_5_sigma_-20_C_0.01_Cz_0.1_20260216_125433,0.0019218197870229652,0.00022331248085334315,0.00204490986494807,0.00020910606855717144,0.0024743588725085375,0.0001964513503973286,0.001195632932288443,0.00014028237676283773,-0.4704666084796105,-0.061594128852725145,16.385854610660825,True,8.728567333333332,8.728567420508819,15.46821984274227,16.483507103201685,1.21
results_prod_neutral__pz_17__H__ions_dipole_H_pz_17_H_7_sigma_-20_C_0.01_Cz_0.1_20260216_125433,17.0,H,7.0,-20.0,0.01,0.1,2472,True,0.5019996300830898,0.21732432103276092,0.08510927857987037,560.2912021256201,0.22665501704110846,pereschityvat,0.3589927620071652,0.04724746049788938,1.8778182984587926,0.2895855193666582,3.0718313819208554,0.37513705891397287,0.3505138215135366,0.06827282626046614,0.057464381315575935,0.009151714885715105,0.049764999086539724,0.018568503494298904,0.028554319422538554,0.027671842846611224,0.041753156227778865,0.008507491744947105,1.3889544416123536,558.8057665096775,0.09648117433020581,0.21732432103276092,0.0045045045045045045,0.15139690817656923,0.005249343832020997,0.06167706167706168,0.009114129803784976,0.13037579704246371,0.0,0.34563840276251206,2.0606462273378538e-08,0.4839672556757875,0.10928258616470811,0.8671438834845392,0.1840947686380844,0.9612490278086766,0.1974361304681361,0.35514789704172633,0.12700336502277532,3,1178.1782305781605,30324,881.2058987764908,1.141085166086287e-08,0.06926853541655802,617.8870284525404,9.571428571428571,0.15806359000898854,0.027858915276906676,0.37159605669302653,0.06703436084667773,0.5019996300830898,0.08510927857987037,0.1259010638241899,0.027555488941589074,0.1577233832609393,0.027830737844560787,0.37232268042253197,0.06721294402378145,0.4997551601279178,0.08487244537234244,0.12566931856908928,0.027538398071419987,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_7_sigma_-20_C_0.01_Cz_0.1_20260216_125433,0.002731720066731129,0.000307022548491087,0.0028838129496679688,0.0002935439860541678,0.0031432461918673112,0.00028439072299858226,0.001477904945705367,0.0001904897604355862,-0.541776425105761,-0.1521292749881328,16.385854610660825,True,7.572510333333334,7.572510378555613,14.011740592586776,16.52579830774398,1.21
results_prod_neutral__pz_17__H__ions_dipole_H_pz_17_H_9_sigma_-20_C_0.01_Cz_0.1_20260216_125433,17.0,H,9.0,-20.0,0.01,0.1,2626,True,0.6178567058650565,0.3103783760476054,0.11189478039478006,396.97859145885394,0.15117235013665423,pereschityvat,0.36767329647190755,0.04146147871065886,1.7901469324148875,0.29079940074114474,2.629262861201912,0.37185198261238317,0.31744942020500994,0.049958515020539,0.07688660327317205,0.010628363927631357,0.059986459218146236,0.027399038124470768,0.05309041290891777,0.039127473236017125,0.0600321979612306,0.008928416998675527,2.6094930566606234,394.3411514106421,0.027946991551301818,0.3103783760476054,0.00684931506849315,0.2565839947089947,0.094204711277882,0.1758880122507407,0.1321695855819163,0.24457713164878273,0.0,0.17440153144545492,1.7083888884816907e-08,0.6631107353973529,0.09217578788558589,1.3895027909315816,0.26699652739299107,1.3265335731483765,0.25890788197892417,0.7433410526881804,0.08846803765736062,3,1059.40074750587,31182,951.7243584427825,1.641072171507054e-08,0.030487627146874707,662.422156047016,7.666666666666667,0.2256172345645263,0.030841815067294432,0.46553064336224587,0.0947044359973777,0.6178567058650565,0.11189478039478006,0.1832793970748078,0.02498771093584809,0.22578466947484876,0.030842632074692927,0.46549774895524126,0.09471936257413682,0.617615019715818,0.11187487109578069,0.18326875118387578,0.024990332158589007,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_9_sigma_-20_C_0.01_Cz_0.1_20260216_125433,0.002085572990811551,0.00022267691842787617,0.002121137161123376,0.00021245771821737074,0.0022808926276370466,0.00020515304849489922,0.0011156086734228693,0.000137074564148811,-0.6021351036598548,-0.23535905590713238,16.385854610660825,True,6.565276,6.5652756722864,12.617545891747161,16.50126898019566,1.21
results_prod_neutral__pz_17__H__ions_dipole_H_pz_17_H_11_sigma_-20_C_0.01_Cz_0.1_20260216_125433,17.0,H,11.0,-20.0,0.01,0.1,2780,True,1.024821087239697,0.36311711348518444,0.14363680934124337,240.98229357048254,0.08668427826276352,pereschityvat,0.34579720455960533,0.039794401628091926,1.9398520056458208,0.28999095667986813,3.1293561626087385,0.3891887583428006,0.2368057877009404,0.04774279402380538,0.09141247841960846,0.012885686540117675,0.0826254281495933,0.030269768918707196,0.07636162470808151,0.05017509631665144,0.061621922180123224,0.012353271195442309,-8.65597794316392,249.5866988853978,0.05157262824865311,0.36311711348518444,0.0045045045045045045,0.3432915539096995,0.12580861602825963,0.3289204097714736,0.26103565365025466,0.23648247177658943,0.006913627886037687,0.38541799536564136,3.0689100025297846e-08,0.9926837590850458,0.1306094047492887,1.7229012908053332,0.3128512467233611,2.0950601166580025,0.34020347102345133,0.5051889007109339,0.16032051947623752,3,935.5113231392271,32123,1003.8527004499432,1.2224830946172723e-08,0.08404428307187917,694.5290295687446,6.454545454545454,0.32658079715340466,0.037453845744950025,0.669708950601891,0.10633224350990073,1.024821087239697,0.14363680934124337,0.1751716846596346,0.03311545584091696,0.32667124535576025,0.03751017350115829,0.6708786169055708,0.1065489909545509,1.0211135615685452,0.1432939075334336,0.17494616247048633,0.0331109423118396,results_prod_neutral/pz_17/H/ions_dipole_H_pz_17_H_11_sigma_-20_C_0.01_Cz_0.1_20260216_125433,0.0034682883740025545,0.00038616254450972253,0.003367309388273301,0.0003564244979383823,0.0040209153065976925,0.00036200349964558175,0.001898571288224712,0.00024582164606587014,-0.654648222251887,-0.3046572501774676,16.385854610660825,True,5.6987103333333335,5.698709898359979,11.473971951164117,16.50117435479487,1.21
results_prod_neutral__pz_17__sigma__ions_dipole_sigma_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_133324,17.0,sigma,3.0,-20.0,0.01,0.1,2166,True,0.16560096749595868,0.1591191191191191,0.025989268802399327,864.2404816104555,0.3990029924332667,godится s ogovorkami,0.7902482231592393,0.09867773797882312,2.0768833991969817,0.29988248875580564,2.364334574415118,0.35020708462953243,0.7750989179763988,0.1131569638782451,0.04852459266437368,0.009033814371527405,0.027300437228900937,0.008110641782318658,0.02207773609221812,0.009393126031895955,0.02597540374413468,0.008608195427970098,-140.9513544926277,1005.134339423782,0.057496679301451324,0.1591191191191191,0.0,0.06389452332657201,0.0,0.03849952516619184,0.0,0.052941176470588235,0.0,0.5564683102945656,2.9342832684111562e-08,0.29885649349733606,0.08606970119607915,0.4082209377715214,0.0683726813177115,0.3922759361317356,0.0706421539906615,0.16976355871395757,0.06488416049350515,3,1234.4382776507098,28485,438.70595192595096,1.188607057055589e-08,0.013528630423870898,370.1977960402541,21.0,0.1270128582695518,0.02328348911692017,0.16560096749595868,0.023857731492678613,0.14792977615314706,0.025989268802399327,0.07877301021950593,0.023239763935768713,0.12688541504646692,0.023289583930526225,0.16554125499083297,0.0238388764489412,0.14814319131249468,0.02601021308875644,0.07877305016125746,0.023235592740542668,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_133324,0.0010663008944108772,0.00016064910893418062,0.0015471050481392845,0.00014930904160175633,0.0017488100044337797,0.00014931347094256165,0.0007453138751776071,9.577203602353038e-05,-0.4518397784859048,-0.00039959424190302167,16.385854610660825,True,9.069245666666665,9.06924589432034,16.538270235738832,16.544881475109253,1.21
results_prod_neutral__pz_17__sigma__ions_dipole_sigma_pz_17_H_3_sigma_-15_C_0.01_Cz_0.1_20260216_125433,17.0,sigma,3.0,-15.0,0.01,0.1,1674,True,0.15786876926332202,0.14812742812742816,0.025840857263552137,648.6452334823305,0.3874822183287518,godится s ogovorkami,0.8504160533760969,0.12640275217087782,1.5274998091129535,0.23646891837185083,1.7357521347515021,0.25974356093840933,0.569281850671186,0.11019139068337398,0.041242465467012164,0.007925371628838636,0.02704878294024417,0.008470167671916442,0.031752516843362825,0.00913806143670701,0.042825945703311365,0.008697283803233051,19.146354487745118,629.3916844768286,0.10719451775671018,0.12349048800661705,0.0,0.09120595167106794,0.0,0.0913951545530493,0.0,0.14812742812742816,0.0,0.8158296321222664,4.494589139648162e-08,0.345235700351477,0.06320235306380868,0.4014705864046764,0.07924713968780676,0.3614777392361668,0.08224280693547593,0.23082225431211092,0.06468548258675054,3,738.0450071771353,28485,263.78535691038843,3.1770749424824825e-08,0.0252222394721671,89.39977369480478,21.0,0.1287485333937809,0.020643142995286298,0.15455452471096617,0.025297236668112576,0.15786876926332202,0.025840857263552137,0.10353161309254293,0.022796743197747146,0.12856145237704106,0.02062076078882052,0.1544195113598485,0.025233705384388082,0.15798673318348605,0.025912076967069955,0.10343202418831852,0.022794285642732903,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-15_C_0.01_Cz_0.1_20260216_125433,0.0020545426285888285,0.00024417089476717825,0.0021570256714579868,0.0002302672411626749,0.0022407602258476523,0.0002202785117501756,0.0011953936214679703,0.00015522559245085893,-0.44005700584482166,0.0009048158066732346,9.115757797947243,True,5.209750666666666,5.209750637913696,9.3124917305325,9.304073257982232,0.9025
results_prod_neutral__pz_17__sigma__ions_dipole_sigma_pz_17_H_3_sigma_-10_C_0.01_Cz_0.1_20260216_125433,17.0,sigma,3.0,-10.0,0.01,0.1,1254,True,0.14953705031803619,0.10493263798348546,0.02644892808847935,463.63688704449686,0.36972638520294804,godится s ogovorkami,1.011604388224711,0.11306912998961027,1.1768208751570608,0.16618190419043855,1.1679926731994124,0.190011870882015,0.49815402892167526,0.09806610385896634,0.03756141934043184,0.008953205564428218,0.02801750093106381,0.00814531355257061,0.04149617994292937,0.008618588878072212,0.03391006842763682,0.008709850734146034,82.96303966815971,380.4136259202542,0.2602214560829796,0.10493263798348546,0.0,0.049772283669486016,0.0,0.10388920130312325,0.0,0.08555320648343905,0.0,0.3470478916316971,0.04035995779709622,0.3530839021559003,0.08985071194411855,0.33590202405189595,0.06785643480058025,0.45011283253443035,0.06936431173204584,0.24182544362067096,0.06253417230349943,3,425.21594530521315,28485,151.57612113041992,5.28944295553746e-09,0.06122857790187753,-38.42094173928377,21.0,0.14953705031803619,0.02644892808847935,0.12520481147703197,0.021333838122785734,0.1476515203500047,0.022021162893292215,0.09547397301926207,0.022314285330731962,0.14960653333184343,0.026419359175150977,0.12481699179414703,0.021270267089802564,0.14784235909525356,0.022048594122532104,0.09524835142815913,0.022293284335020407,results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-10_C_0.01_Cz_0.1_20260216_125433,0.002899765321737574,0.0003475773327496269,0.0029848541818906504,0.00033587360401763624,0.0032753381004424795,0.0003191864222026123,0.0016284091655378481,0.0002331915247632373,-0.4033569876472783,0.0018799755204134594,4.584144558791527,True,2.8077193333333335,2.807719008235159,4.714707778352159,4.7058608751044915,0.64
